,AGE_15-17,AGE_18-20,AGE_21-24,AGE_25-29,AGE_30-34,AGE_35-39,AGE_40-44,AGE_45-49,AGE_50-54,AGE_55-59,AGE_60-64,AGE_65 up,EDUC_0 to 8,EDUC_12 or GED,EDUC_12+ ,EDUC_9 to 11,EDUC_Special Ed,ETHNIC_Mexican,ETHNIC_Not of Hispanic or Latino origin,ETHNIC_Other Hispanic or Latino origin,ETHNIC_Puerto Rican,RACE_Asian,RACE_Black or African American,RACE_Native,RACE_Other/Mutliple,RACE_Pacific Islander,RACE_White,GENDER_Female,GENDER_Male,"MARSTAT_Divorced, widowed",MARSTAT_Never married,MARSTAT_Now married,MARSTAT_Seperated,SAP_No,SAP_Yes ,EMPLOY_Employed non differentiated,EMPLOY_Full time,EMPLOY_Not in labor force,EMPLOY_Part time,EMPLOY_Unemployed,LIVARAG_Homeless,LIVARAG_Other,LIVARAG_Private residence,NUMMHS_1,NUMMHS_2,NUMMHS_3,STATEFIP_AK,STATEFIP_AL,STATEFIP_CO,STATEFIP_CT,STATEFIP_DC,STATEFIP_DE,STATEFIP_FL,STATEFIP_HI,STATEFIP_ID,STATEFIP_IL,STATEFIP_IN,STATEFIP_KY,STATEFIP_LA,STATEFIP_MA,STATEFIP_MD,STATEFIP_MI,STATEFIP_MO,STATEFIP_MT,STATEFIP_NC,STATEFIP_ND,STATEFIP_NE,STATEFIP_NJ,STATEFIP_NM,STATEFIP_NV,STATEFIP_NY,STATEFIP_OH,STATEFIP_OK,STATEFIP_OR,STATEFIP_PA,STATEFIP_PR,STATEFIP_SC,STATEFIP_SD,STATEFIP_TN,STATEFIP_TX,STATEFIP_UT,STATEFIP_WA,STATEFIP_WY,Disorder,CLUSTER
MH1_ADHD,0.14284279148086795,0.07022005353229449,0.023183581261244243,0.01363970646231573,0.0006636189153779909,-0.015008615715251378,-0.023793561958209385,-0.029101407754794376,-0.034493776885449946,-0.036098352678216074,-0.030753203478408372,-0.03468350930971193,0.07499897197627146,-0.048997875124179004,-0.027974317256019045,0.038470933167828264,0.003064072475024294,-0.0018816273627184374,0.011547771909829032,-0.01172865009483782,-0.001463036959927795,-0.0016747289602787275,0.008298298110112763,-0.006707739700545016,0.004144576513636466,-0.0021268119498164613,-0.007223430667997721,-0.05917613687530271,0.05917613687530271,-0.04940674889731462,0.07477314324430784,-0.03048106601609321,-0.026307130204719215,0.03528226524783465,-0.035282265247834683,-0.014077963368826848,-0.049238917003976736,0.013961707778834197,0.0994804868507385,-0.03174737234174034,-0.02290413679317772,-0.015368302430072131,0.027368152221492314,-0.020674474561800577,0.010373622932280188,0.017959932594799267,0.0012486150157981224,-0.0008414271841426002,-0.000169911513260117,-0.006687719032414035,-0.00022203267291817742,-0.0005450389514234196,0.011094285982686723,-0.002908917492706045,0.0032603475416420244,0.0026052572932487006,0.008086562908221387,0.00992481580368995,-0.0011136683702915367,-0.0036006942425379955,0.05002923922507076,-0.002068870717685847,-0.005460098770292436,0.0003198833361591229,-0.00022203267291814443,0.002815245113151762,-0.0026160581376007694,0.041474320935037744,-0.0009834075901937035,-0.0003616120263796629,-0.005053127718538336,0.0005989071183871421,-0.01803675620782798,-0.031061481084559004,0.0010209543938528947,0.0014661606131142993,-0.015323145776110377,-0.0002695292919897917,-0.0052213215909446605,-0.04530600495899661,-0.009552798190507696,-0.0023352782588524413,0.004269720062069942,MH1_ADHD,0
MH1_Anxiety,0.03626643190714785,0.02567034658341039,0.01598717480604076,0.01794140200514148,0.013501736383305332,0.0051334168801548535,-0.004487518837511677,-0.01291618270966697,-0.021386358174745088,-0.0263711068777841,-0.0216901081143457,-0.018851862731557947,-0.009044620863776604,-0.01139960274596793,0.030757231942511613,-0.008562478661189041,-0.014836836548569796,0.016845488624846194,0.003121135466833508,-0.010143150351648407,-0.0029725002871637735,-0.0017586292514081598,-0.07530515277054793,0.011400101401964353,0.008908873473564139,0.003385884908067916,0.05644909094562366,0.04318903492555522,-0.04318903492555522,-0.01949818462023601,-0.0023654263097924655,0.03427289875211678,-0.015136389208221296,0.03732643665907013,-0.03732643665907013,-0.000947390679562821,-0.009097632906380151,-0.03384833068085606,0.06719144358896326,-0.01069114225560646,-0.025600706334018262,-0.03410843711329459,0.04421815058071366,-0.013453079847447353,0.02114691188061291,-0.010516697090506722,0.00868671520350678,-0.02251484807007125,0.0240047008199892,0.0034430616224591553,-0.0022735954604824337,-0.012980835017382382,0.0010657176235204702,-0.006579513166226068,0.001609044949021218,-0.006904422090111051,0.05343782008214561,0.012195072973733003,-0.003667119440535279,-0.0052133767374804825,0.025120639124487486,-0.036580984684227914,0.005676913473449204,-0.0001958116258703303,-0.00011739835954183432,0.010647250893951505,0.0015393130083530225,-0.015477402067483518,0.0014429521336312603,-0.000833273802833666,-0.0138183991989906,0.0022391447980636206,0.011353565193178651,0.07618768974188067,-0.0011452286906620172,-0.0073143472620985014,-0.013008364212932413,-0.0006210847032935539,0.0026666145950454776,-0.1081472770486169,0.021274499196777596,0.034344589640568246,0.025259408246218366,MH1_Anxiety,0
MH1_Bipolar,-0.07807112125328426,-0.03731801954777093,-0.011042179659150669,0.0028604122955508703,0.014450141424587126,0.022979385596942598,0.028128530055068934,0.026870412149044013,0.019359180703014265,0.009365773529319672,-0.006150093458865851,-0.027545961875204986,-0.0422290515658971,0.021529860501039676,0.040623945450598935,-0.03326910850125565,-0.029422525641275524,-0.023179522024648572,0.004004830108683489,0.008089346631455583,-0.005353500272115802,-0.014382748431989627,-0.024879987990807338,-0.016608725931761287,-0.023464149747557575,-0.0076547699850853775,0.04361799597165529,0.05079727126608319,-0.05079727126608319,0.0543114630512925,-0.06134888304249245,0.0053359862480940445,0.02877522729646172,-0.03365195022859305,0.03365195022859303,0.05566696595656636,0.009521402573956799,0.00332724991664978,-0.0718479508770488,0.012790011537565399,0.007535136621861846,-0.02317157924081775,0.013717077574207266,-0.0465990500306984,0.01932896166337589,0.04673074169503445,-0.017371489430597745,-0.011363466130895342,-0.011095622570483873,0.003058027232173563,0.001739141582707304,0.0023363504988573604,-0.0080617315738828,-0.0024004364829424505,-0.004223469109068228,0.009779313820897653,-0.0199573259036905,-0.06004603681633077,0.004975382425454928,0.0032699656196142498,0.01618381487142865,-0.0012383936464116785,0.020653083427041058,-0.0007199987164035756,0.0005999536357098865,-0.0054831420309104885,0.007257782171564718,-0.045188531612446334,-0.0040737964048382855,0.00041704216639448403,-0.0065351136389066086,-0.0028314468896138848,-0.009104657969497033,-0.041885279009858764,0.0006988112887406413,-0.00911279322578981,0.015267180506319658,-0.0008474936213805165,0.00686131624340034,0.17302656026262556,-0.01059245165364426,-0.037804505028005045,-0.011143118169759098,MH1_Bipolar,1
MH1_Conduct disorder,0.08258425371182489,0.026210081035086815,0.0007235166761019639,-0.0016683154212126944,-0.0018520521233253932,-0.00024068644404153381,-0.005935664912224011,-0.013042329650264573,-0.01672558115253874,-0.017275952509212756,-0.014243836472043046,-0.01432647528731773,0.04106390726607258,-0.030420096150400495,-0.031055671764116853,0.040835090675674215,0.0075483980900966415,0.00720618843560027,0.0009359845398847734,-0.005429792092625014,0.002804387592041685,-0.0007815058974712123,0.019902782786358923,-0.0001039184938428013,0.0030301061505557873,-0.00019603120394549877,-0.018713039961121773,-0.03999345239412686,0.03999345239412686,-0.027123327462022482,0.043050039248691156,-0.020040731721780065,-0.01352705188977684,0.0158499342381047,-0.01584993423810459,-0.014428225471198002,-0.02608532430051816,0.017199638999495368,0.048180729372669324,-0.018727117584665127,-0.010435864251993337,0.01928520643481199,-0.008689434249440001,-0.009693838467211698,0.008773648878153701,0.0023913322480239923,0.003537932120729196,-0.002018501549128683,0.004243622072758086,-0.004274525152021465,-0.0004527187504551322,-0.0007533040742507778,0.001953473020710653,-0.0009302202258994693,0.0064069754803943784,0.001448509126529329,0.014574492992638178,-0.0029296704535855126,-0.0009686755754151867,-0.0019742363049858195,-0.0019817704144512167,-0.0011583468917283097,-0.005641295972643388,-0.00033184658340972456,0.001188387478816529,0.002157175777703993,-0.004686148111485454,0.03571869036897313,-0.0014425937579232494,-0.0001659216344168126,-0.0023348854352141547,0.0012183939493836309,-0.007615358976731163,-0.0143451949155413,-0.00022803814963276176,0.006744307253730545,-0.007218649220263954,-0.0001236705014981802,0.001630547884509761,-0.022305370035239178,-0.007380070548388352,0.0017635842174108052,0.0033702970082358052,MH1_Conduct disorder,0
"MH1_Delirium, dementia",-0.009835313082716193,-0.010051458283980434,-0.011826785491522796,-0.014405254790039354,-0.013783483064887069,-0.013270668011664303,-0.011167100643116457,-0.009189203326699195,-0.007386691322456725,-0.004154291867515489,0.0027647515396129405,0.11198106780433241,0.013413824073582999,0.0046942620139501685,-0.007609513792453146,-0.007312131215074546,0.0014524325838649124,-0.005178012953362732,0.01043222089992089,-0.008767917740438665,-0.0019398520634725921,0.002076924793402512,-0.0030895719528303655,-0.0029877707107516895,0.007755073011009874,-0.0016607719729231163,-0.0014026939283760804,-0.00285954922457881,0.00285954922457881,0.02484637812268232,-0.025974039141005316,0.012478138165658714,-0.006659019640024409,0.016701590650741095,-0.0167015906507411,-0.010859025606884402,0.011755431600926465,0.024544670523207017,-0.01546534032273384,-0.017617320623287715,-0.004960404941337011,0.03937536665767056,-0.02844574659110834,-0.005571871531987902,0.005253510977244428,0.001049778688131991,-0.001525443709630873,-0.0007727657502579596,-0.00940239607229839,0.007379531371094401,-0.0003721739984460753,-0.0012843305818107786,-0.007277004881879501,0.0025623464051745867,0.0004217809390291628,-0.006033330946889117,-0.011601370159846762,-0.0016184331392830155,-0.002363262457049526,-0.0011654245987179333,-0.006651092671427857,0.00888309883351893,-0.005994905370341821,-0.00027280661491059266,-0.000372173998445943,0.001515093123721167,0.004200178478262617,0.0412561874002331,0.004447365385096741,-0.0001364019450210712,-0.004614318040694695,-0.0011612518946687513,-0.010407026147911233,-0.005716914368343007,-0.000187467097092224,-0.0010444354641808787,-0.0006603558596839374,-0.00010166785666845983,-0.0004279457211886217,-0.017365149568494165,0.01621108084108757,0.00158573826818415,0.0005667320472416335,"MH1_Delirium, dementia",0
MH1_Depression,-0.00345696781716656,0.014329916675200383,0.0014524377695559348,-0.017902563192886675,-0.024300083918302982,-0.022862044404771107,-0.0116449457913938,0.005076408441392319,0.016207290008777284,0.021046500843097782,0.019601437708446235,0.013614973259126589,-0.02868154888970551,0.012883801342485674,0.023015631207339394,-0.005638648582057256,-0.05612757253324038,-0.0005569114698457453,-0.03399979418710208,0.03810433146387054,0.002252851207634586,-0.00746460994139561,-0.018370302037289375,-0.0021338604764472896,-0.010693710923011983,0.0024184919389152178,0.024037719374282982,0.0903621219888223,-0.0903621219888223,0.050400369852296505,-0.08317733289892228,0.042503127649790945,0.023673891356415837,0.02081929546926917,-0.02081929546926917,0.051028167562768505,-0.023246589956231526,-0.028760712754566178,0.0010289549893483217,0.023104867931756153,-0.0006950104160964154,-0.07454184259063543,0.06045507457064096,-0.03510089697369311,0.03588771288742613,0.002306683741792199,-0.00748081008255836,0.0646185149196536,-0.013822726799196966,-0.0085399960806374,0.00016899939855496697,-0.012103234420674128,0.017698578282299347,-0.007243588093975655,-0.0002609246704535038,-0.0072376488981000095,0.008964594721038265,-0.03999062150464506,0.015993656242753757,-0.009939415906825184,0.020020098846987248,-0.023712691710936432,-0.0017919680271124058,-0.001053149896034232,-0.0009600434148282482,-0.0035819043834588856,-0.0006992795089265039,-0.04947761177991329,-0.005862228132049067,-0.0011426640504462063,-0.03872424683277018,-0.00020319002024067414,0.05736301366487305,-0.043447201498378295,-0.0019689135682762833,-0.008086773158881693,-0.005419016691451759,0.00034225302027515833,0.0027816559603279986,0.05652660419839163,0.015525324617838773,-0.002241111260122978,0.002554475302575466,MH1_Depression,1
MH1_Oppositional defiant disorder,0.1151611912667598,0.02640704152451895,0.003738549132054671,0.000985999397377698,0.00019192064049089794,-0.00258268382121365,-0.013081456758055277,-0.01976178186786083,-0.021545487330526622,-0.021314957537041872,-0.01784955555705859,-0.018417427041468103,0.0729848218674719,-0.05012979385463598,-0.03810345088959,0.053629594382385216,-0.0023568732395025595,-0.0011288234686634706,0.009785521024577361,-0.008924603185532214,-0.004477865019770875,-0.001289934839460733,0.024819348168889387,-0.002657716551017348,0.006815953707520778,-0.0019756496618328094,-0.02421191950693199,-0.02616997102534313,0.02616997102534313,-0.033198822170641316,0.054958354766745106,-0.027806515074480675,-0.016240620257812945,0.028541787685335912,-0.028541787685335912,-0.016711904078567204,-0.04233087875218517,0.04107846582688587,0.054058867879889,-0.027546164652311515,-0.013744142152027307,-0.0021575065809386457,0.010736469667987511,-0.011617647154737646,0.011394774833889683,0.0015088226715473244,0.004168475459127938,-0.0034759147119942865,-0.012201196474989547,-0.00986805562537807,-0.0004868272771005927,0.0037858187981256682,-0.011164006800561338,-0.0015535617600286663,0.01593345213832245,-0.00139484570712079,0.013483838164852883,-0.0013915181472422935,-0.002323410533257386,-0.0021229783032912153,0.0025983428363982436,-5.306356784797038e-05,-0.004481012558286944,-0.0003568484151674634,0.0010402808018387865,-0.0026761376395312416,-0.004424454484704295,0.07145048749508585,-0.0010718222588872537,-0.0001784224254330525,-0.006333452772254184,-5.006969632036162e-05,-0.005568441963573565,-0.015425983954035194,-0.0002452188944001284,-0.0016699922038147488,-0.009992254627246736,-0.00013298802720565787,-0.0038448163487726757,-0.02430390864935513,-0.00834326316062248,-0.007021400357041674,-0.0008281969652541114,MH1_Oppositional defiant disorder,0
MH1_Other,0.03374963449383019,0.026689085906013914,0.01719472039834256,0.010878730871593903,-0.002751862909417206,-0.013061684505994443,-0.011165317972663196,-0.013237673296246314,-0.015322141071009708,-0.013739054384749289,-0.010725764715955906,0.0073140444281387055,0.03365763445561264,-0.014797061901835972,-0.04699565156295253,-0.004428135814528506,0.18336170627618445,-0.0020816067067055254,0.015343192122491247,-0.01620356855094891,-0.0008139405410589549,0.002902223198516115,-0.009825888205144523,-0.003924715513965032,0.02332360627477712,-0.0030160177587568305,-0.004630443398521573,-0.03105331109550251,0.03105331109550251,-0.04739692527944728,0.06669984136794517,-0.021078558863435525,-0.027301696302153317,0.018183167651750987,-0.018183167651751,-0.04042032415629715,-0.00789895843939286,0.010428785915328125,0.04226735596230923,-0.012628820579786738,-0.018513032904699418,0.028574404392096988,-0.010877421491526196,0.055800126265765415,-0.05079125703643242,-0.013320976247557063,-0.00644454668906092,0.017061435624778132,-0.02846312834268513,-0.012167358779805227,0.0013631499690216094,-0.011476023052328605,0.010056678595269214,-0.005777137204719544,0.0005735804416078018,-0.000936954622228038,-0.025710508008641032,0.03323586057826793,-0.013779192995160236,-0.004075591783992771,-0.02099856032501079,0.13828288267177863,-0.02337270118812195,-0.0014159660073484548,0.0013631499690214064,-0.002935965256688726,0.00759878736147334,0.026188751769097404,-0.0027934052706779823,-0.000707975932142802,-0.011470954189553635,-0.00034894445838059494,-0.022610491471335925,0.0017029587424369395,0.0006622231702450421,-0.0003405940903941635,-0.027294828216153078,0.0009799222114641004,-0.006364969998053505,-0.09185864224009993,0.00033980788417260234,-0.020308492121579116,0.0044254772897583785,MH1_Other,0
MH1_Personality disorder,-0.0152627830989015,-0.0018555850361039968,0.008172196465300987,0.006723777569571374,0.005258116617112433,0.002904908755039174,0.003183603464533829,0.0016311440588376333,-0.001964867662232593,-0.004280318100977367,-0.0054153544388617835,-0.004996526397542874,-0.0075663313571185335,0.0025220398977587152,0.011431133501894288,-0.008131198878700938,-0.007570198560333039,-0.0006645617280328737,0.011200275259139364,-0.011474045728576597,-0.0025619585047930555,-0.0019459974880310748,-0.016180513143964657,0.00044786732047820703,-0.0036921046421289523,-0.0012609901335665329,0.016532674111595907,0.02067239070573427,-0.02067239070573427,0.0038167523552609466,-0.004200733916791276,7.085028341258687e-05,0.002259671446798156,0.0018007444708727331,-0.001800744470872741,-0.0066464647687385974,0.0055155897256399505,2.772901646457411e-05,-0.003290694423427625,0.0003732493860971997,0.003960066389673034,0.0007343911705951896,-0.0031842305962526533,-0.0374226775007864,0.008626748981016666,0.04816370990265879,0.002172756491657318,-0.007882159397954698,0.005422936336911901,0.0028558258386630286,-0.0006229403368487344,-0.002333366636943351,-0.016186077973815383,-0.0004867988110189925,0.00018684903225451275,-0.004610240592862725,0.03286006605094044,-0.008226996646902992,-0.0038975139960363,-0.0010680742924452657,-0.011991957265617696,0.006332673058319208,0.0045676402608537964,-0.0004566204122172356,0.0029682177200570565,0.011612762996117696,-0.0015403074960924459,0.0026273900352677833,-0.00048167554956174137,-0.00022830792568269157,0.00917683550827673,-0.0015598753152897896,-0.015296453417809056,0.005244355678192693,0.0020626123389722783,-0.0016130150992121023,0.02013417165063243,-0.00017017042873542407,0.0008919620940155284,-0.029845468225167638,0.01131599404443162,0.01181953422351857,0.01444063225000255,MH1_Personality disorder,0
MH1_Pervasive developmental disorder,0.035011928751816045,0.05143059949984558,0.04513363957552208,0.02222394769208014,-0.004743966576798736,-0.014792373777773765,-0.016397030755307865,-0.018779814988315723,-0.021224153354092536,-0.020742263065570993,-0.017999935860568382,-0.01926189852849876,0.014335897742791167,-0.010241837918066468,-0.03611359711402254,-0.006651720335279928,0.17673124315347483,-0.005361780854121589,0.01382847319390697,-0.011747226694190416,-0.004057013394634243,0.004171445107007233,-0.0121083206628445,-0.007978706772188609,0.014208766991787488,-0.001796876185736251,0.0034454416040888914,-0.05713265884718225,0.05713265884718225,-0.03951239517374841,0.06640841844230004,-0.033765550352908444,-0.020380366812941888,0.016372934783595777,-0.016372934783595784,-0.019623781543670307,-0.0017010404531026602,-0.013322287784939952,0.0479712565604344,-0.01259509699584794,-0.017608754257298055,0.0041770439343917646,0.008168286431258812,-0.04671710760311449,0.022057031413749918,0.04271727285096426,0.0008153993845660462,-0.009072174720212602,-0.015242907623757978,0.0031947072531307084,-0.0005897588851479043,-0.0020358247661824945,-0.017944706398022977,-0.0018820368017572844,0.0024071653270757343,-0.009781149797311482,-0.011094248985969845,0.0351525694563205,-0.002549458307451722,-0.0008320299577969424,-0.019164285236419824,0.10837593889923583,-0.009499719815307325,0.001291222443343582,-0.0005897588851478037,0.007007465902823833,-0.005241371267382861,-0.009212481251850329,-0.0014826153054672848,-0.00021614690806861123,-0.009275044596387881,0.0014004986932478361,-0.012753362954965241,-0.01847828668804349,-0.0002970663900344309,-0.00288642100157907,-0.010779070807749735,-0.00016110615479461438,-0.002589676711816385,-0.02529113450905932,-0.005491971920375155,-0.01595126633071855,-0.0006945072087639223,MH1_Pervasive developmental disorder,0
